Employee ID|Last Name|First Name|Birthday|Address|Phone Number|SSS #|Philhealth #|TIN #|Pag-ibig #|Status|Position|Immediate Supervisor|Basic Salary|Rice Subsidy|Phone Allowance|Clothing Allowance|Gross Semi-monthly Rate|Hourly Rate|Worked Hours Week1|Worked Hours Week2|Worked Hours Week3|Worked Hours Week4|Total Work Hours|Gross Earnings|SSS Deduction|PhilHealth Deduction|Witholding Tax|Pag-Ibig Deduction|Total Deductions|Net Earnings
12Lopez|Lopez|Josie |1/14/1987|49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro|478-355-427|44-8563448-3|4.31709E+11|218-489-737-000|1.13071E+11|Regular|Payroll Team Leader|Salcedo Anthony|38475|1500|800|800|19238|229.02|40|40|40|40|160|36643|500|100|1500|150|2250|34393
13Farala|Farala|Martha|1/11/1942|42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte |329-034-366|45-5656375-0|2.33694E+11|210-835-851-000|6.3113E+11|Regular|Payroll Rank and File|Salcedo Anthony|24000|1500|500|500|12000|142.86|40|40|40|40|160|22858|500|100|1500|150|2250|20608
14Martinez|Martinez|Leila|7/11/1970|37/46 Kulas Roads Maragondon 0962 Quirino |877-110-749|27-2090996-4|5.15741E+11|275-792-513-000|1.01205E+11|Regular|Payroll Rank and File|Salcedo Anthony|24000|1500|500|500|12000|142.86|40|40|40|40|160|22858|500|100|1500|150|2250|20608
15Romualdez|Romualdez|Fredrick |3/10/1985|22A/52 Lubowitz Meadows Pililla 4895 Zambales|023-079-009|26-8768374-1|3.08367E+11|598-065-761-000|2.23058E+11|Regular|Account Manager|Lim Antonio|53500|1500|1000|1000|26750|318.45|40|40|40|40|160|50952|500|100|1500|150|2250|48702
16Mata|Mata|Christian|10/21/1987|90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu |783-776-744|49-2959312-6|8.24188E+11|103-100-522-000|6.31053E+11|Regular|Account Team Leader|Romualdez Fredrick |42975|1500|800|800|21488|255.8|40|40|40|40|160|40928|500|100|1500|150|2250|38678
17De Leon|De Leon|Selena |2/20/1975|89A Armstrong Trace Compostela 7874 Maguindanao|975-432-139|27-2090208-8|5.87272E+11|482-259-498-000|7.19008E+11|Regular|Account Team Leader|Romualdez Fredrick |41850|1500|800|800|20925|249.11|40|40|40|40|160|39858|500|100|1500|150|2250|37608
18San Jose|San Jose|Allison |6/24/1986|08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union|179-075-129|45-3251383-0|7.45148E+11|121-203-336-000|1.14902E+11|Regular|Account Rank and File|Mata Christian|22500|1500|500|500|11250|133.93|40|40|40|40|160|21429|500|100|1500|150|2250|19179
19Rosario|Rosario|Cydney |10/6/1996|93A/21 Berge Points Tapaz 2180 Quezon|868-819-912|49-1629900-2|5.79253E+11|122-244-511-000|2.65104E+11|Regular|Account Rank and File|Mata Christian|22500|1500|500|500|11250|133.93|40|40|40|40|160|21429|500|100|1500|150|2250|19179
20Bautista|Bautista|Mark |2/12/1991|65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino|683-725-348|49-1647342-5|3.99665E+11|273-970-941-000|2.60055E+11|Regular|Account Rank and File|Mata Christian|23250|1500|500|500|11625|138.39|40|40|40|40|160|22142|500|100|1500|150|2250|19892
21Lazaro|Lazaro|Darlene |11/25/1985|47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino|740-721-558|45-5617168-2|6.06387E+11|354-650-951-000|1.04908E+11|Probationary|Account Rank and File|Mata Christian|23250|1500|500|500|11625|138.39|40|40|40|40|160|22142|500|100|1500|150|2250|19892
22Delos Santos|Delos Santos|Kolby |2/26/1980|06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur|739-443-033|52-0109570-6|3.57451E+11|187-500-345-000|1.13018E+11|Probationary|Account Rank and File|Mata Christian|24000|1500|500|500|12000|142.86|40|40|40|40|160|22858|500|100|1500|150|2250|20608
23Santos|Santos|Vella |12/31/1983|99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur|955-879-269|52-9883524-3|5.4867E+11|101-558-994-000|3.60028E+11|Probationary|Account Rank and File|Mata Christian|22500|1500|500|500|11250|133.93|40|40|40|40|160|21429|500|100|1500|150|2250|19179
24Del Rosario|Del Rosario|Tomas|12/18/1978|80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque|882-550-989|45-5866331-6|9.53902E+11|560-735-732-000|9.13109E+11|Probationary|Account Rank and File|Mata Christian|22500|1500|500|500|11250|133.93|40|40|40|40|160|21429|500|100|1500|150|2250|19179
25Tolentino|Tolentino|Jacklyn |5/19/1984|96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao|675-757-366|47-1692793-0|7.53801E+11|841-177-857-000|2.10547E+11|Probationary|Account Rank and File|De Leon Selena|24000|1500|500|500|12000|142.86|40|40|40|40|160|22858|500|100|1500|150|2250|20608
26Gutierrez|Gutierrez|Percival |12/18/1970|58A Wilderman Walks Poblacion Digos 5822 Davao del Sur|512-899-876|40-9504657-8|7.97639E+11|502-995-671-000|2.10897E+11|Probationary|Account Rank and File|De Leon Selena|24750|1500|500|500|12375|147.32|40|40|40|40|160|23571|500|100|1500|150|2250|21321
27Manalaysay|Manalaysay|Garfield |8/28/1986|60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur|948-628-136|45-3298166-4|8.10909E+11|336-676-445-000|2.11274E+11|Probationary|Account Rank and File|De Leon Selena|24750|1500|500|500|12375|147.32|40|40|40|40|160|23571|500|100|1500|150|2250|21321
28Villegas|Villegas|Lizeth |12/12/1981|66/77 Mann Views Luisiana 1263 Dinagat Islands|332-372-215|40-2400719-4|9.3439E+11|210-395-397-000|1.22238E+11|Probationary|Account Rank and File|De Leon Selena|24000|1500|500|500|12000|142.86|40|40|40|40|160|22858|500|100|1500|150|2250|20608
29Ramos|Ramos|Carol |8/20/1978|72/70 Stamm Spurs Bustos 4550 Iloilo|250-700-389|60-1152206-4|3.5183E+11|395-032-717-000|2.12142E+11|Probationary|Account Rank and File|De Leon Selena|22500|1500|500|500|11250|133.93|40|40|40|40|160|21429|500|100|1500|150|2250|19179
30Maceda|Maceda|Emelia |4/14/1973|50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija|973-358-041|54-1331005-0|4.65088E+11|215-973-013-000|5.15013E+11|Probationary|Account Rank and File|De Leon Selena|22500|1500|500|500|11250|133.93|40|40|40|40|160|21429|500|100|1500|150|2250|19179
31Aguilar|Aguilar|Delia |1/27/1989|95 Cremin Junction Surallah 2809 Cotabato|529-705-439|52-1859253-1|1.36451E+11|599-312-588-000|1.10019E+11|Probationary|Account Rank and File|De Leon Selena|22500|1500|500|500|11250|133.93|40|40|40|40|160|21429|500|100|1500|150|2250|19179
32Castro|Castro|John Rafael|2/9/1992|Hi-way Yati Liloan Cebu|332-424-955 |26-7145133-4|6.01645E+11|404-768-309-000|6.97764E+11|Regular|Sales & Marketing|Reyes Isabella|52670|1500|1000|1000|26335|313.51|40|40|40|40|160|50162|500|100|1500|150|2250|47912
33Martinez|Martinez|Carlos Ian|11/16/1990|Bulala Camalaniugan|078-854-208|11-5062972-7|3.80685E+11|256-436-296-000|9.93373E+11|Regular|Supply Chain and Logistics|Reyes Isabella|52670|1500|1000|1000|26335|313.51|40|40|40|40|160|50162|500|100|1500|150|2250|47912
34Santos|Santos|Beatriz|8/7/1990|Agapita Building Metro Manila|526-639-511|20-2987501-5|9.1846E+11|911-529-713-000|8.74042E+11|Regular|Customer Service and Relations|Reyes Isabella|52670|1500|1000|1000|26335|313.51|40|40|40|40|160|50162|500|100|1500|150|2250|47912
